ident,sample,batch,group,molecule,rep,tissue,driver,rejected,pct_unmapped,pct_mapped_unique,pct_mapped_multi,pct_alignment_rate,num_reads_aligned,num_reads_markdup
,GC3772016_S1_L002,KZ2357,H3K4,H3,1,whole,tj,,16.59,59.2,24.21,86.87,21800722,18580398
,GC3772017_S2_L002,KZ2357,H3K4,H3,2,whole,tj,TRUE,16.01,60.92,23.06,87.03,28148870,23465276
,GC3772018_S3_L002,KZ2357,H3K4,H3,3,whole,tj,,22.64,58.08,19.28,80.09,19729594,17262940
,GC3772019_S4_L002,KZ2357,H3K4,H3K4me3,1,somatic,tj,,20.63,61.74,17.63,82.36,26695814,19339800
,GC3772020_S5_L002,KZ2357,H3K4,H3K4me3,2,somatic,tj,TRUE,57.72,29.91,12.37,46.35,9283502,4577334
,GC3772021_S6_L002,KZ2357,H3K4,H3K4me3,3,somatic,tj,,13.9,67.7,18.4,88.87,30083318,21495024
,GC3772022_S7_L002,KZ2357,H3K4,H3,1,whole,nos,TRUE,,,,,,
,GC3772023_S8_L002,KZ2357,H3K4,H3,2,whole,nos,TRUE,,,,,,
,GC3772024_S9_L002,KZ2357,H3K4,H3,3,whole,nos,TRUE,,,,,,
,GC3772025_S10_L002,KZ2357,H3K4,H3K4me3,1,germline,nos,TRUE,,,,,,
,GC3772026_S11_L002,KZ2357,H3K4,H3K4me3,2,germline,nos,TRUE,,,,,,
,GC3772027_S12_L002,KZ2357,H3K4,H3K4me3,3,germline,nos,TRUE,,,,,,
,GC2894001_S1_L001,KZ2507_GSCresequence,H3K4,H3,1,whole,nos,,26.1,49.88,24.02,76.58,38741654,32489712
,GC2894002_S2_L001,KZ2507_GSCresequence,H3K4,H3,2,whole,nos,,26.88,49.7,23.42,75.76,67860768,55324932
,GC2894003_S3_L001,KZ2507_GSCresequence,H3K4,H3,3,whole,nos,TRUE,24.37,53.21,22.42,77.83,41621170,36145298
,GC2894004_S4_L001,KZ2507_GSCresequence,H3K4,H3K4me3,1,germline,nos,,37.24,46.55,16.21,65.11,46716102,16727962
,GC2894005_S5_L001,KZ2507_GSCresequence,H3K4,H3K4me3,2,germline,nos,,39.1,44.66,16.24,63.09,39146402,15385090
,GC2894006_S6_L001,KZ2507_GSCresequence,H3K4,H3K4me3,3,germline,nos,TRUE,59.46,30.24,10.3,42.51,24968024,13699660
,GC3768007_S7_L001,KZ2504_KZ2505,H3K27,H3,1,whole,nos,,23.73,58.54,17.73,78.31,20605646,18670504
,GC3768008_S8_L001,KZ2504_KZ2505,H3K27,H3,2,whole,nos,TRUE,12.54,67.59,19.86,89.71,26064846,23944612
,GC3768009_S9_L001,KZ2504_KZ2505,H3K27,H3,3,whole,nos,,38.95,41.79,19.27,63.04,15799782,14027052
,GC3768010_S10_L001,KZ2504_KZ2505,H3K27,H3,1,whole,tj,,32.06,47.89,20.04,70.17,13831850,12381292
,GC3768011_S11_L001,KZ2504_KZ2505,H3K27,H3,2,whole,tj,TRUE,26.15,57.28,16.57,76.49,13726476,12541370
,GC3768012_S12_L001,KZ2504_KZ2505,H3K27,H3,3,whole,tj,TRUE,18.91,63.51,17.58,84.41,14260210,13246254
,GC3768013_S13_L001,KZ2504_KZ2505,H3K27,H3,4,whole,tj,,,,,,,
,GC3768014_S14_L001,KZ2504_KZ2505,H3K27,H3,5,whole,tj,,33.33,49.71,16.95,69.35,15069192,13994656
,GC3769001_S27_L002,KZ2504_KZ2505,H3K27,H3K27me3,1,germline,nos,,66.54,27.44,6.02,35.72,8963424,4602160
,GC3769002_S28_L002,KZ2504_KZ2505,H3K27,H3K27me3,2,germline,nos,TRUE,93.02,5.45,1.52,7.42,1993680,946674
,GC3769003_S29_L002,KZ2504_KZ2505,H3K27,H3K27me3,3,germline,nos,,45.42,40.69,13.89,56.51,13782956,11085422
,GC3769004_S30_L002,KZ2504_KZ2505,H3K27,H3K27me3,1,somatic,tj,,38.35,47.75,13.9,63.35,19472372,15749386
,GC3769005_S31_L002,KZ2504_KZ2505,H3K27,H3K27me3,2,somatic,tj,TRUE,62.18,32.15,5.67,39.45,10608252,6588920
,GC3769006_S32_L002,KZ2504_KZ2505,H3K27,H3K27me3,3,somatic,tj,TRUE,75.91,21.02,3.07,25.58,6595522,3743852
,GC3769007_S33_L002,KZ2504_KZ2505,H3K27,H3K27me3,4,somatic,tj,,44.12,45.01,10.86,58.35,13425108,9792490
,GC3769008_S34_L002,KZ2504_KZ2505,H3K27,H3K27me3,5,somatic,tj,,50.3,38.89,10.81,51.4,16267522,10764538
,GC76045515_S5_L001,KZ2839,H3K27,H3,20240528,whole,nos,,,,,,,
,GC76045516_S6_L001,KZ2839,H3K27,H3K27me3,20240528,germline,nos,,,,,,,
K9N1I,GC7605041_S20_L00?,KZ2862,H3K9,H3,1,whole,nos,,,,,,,
K9N1M,GC7605042_S21_L00?,KZ2862,H3K9,H3K9me3,1,germline,nos,,,,,,,
K9N2I,GC7605043_S22_L00?,KZ2862,H3K9,H3,2,whole,nos,,,,,,,
K9N2M,GC7605044_S23_L00?,KZ2862,H3K9,H3K9me3,2,germline,nos,,,,,,,
K9T1I,GC7605045_S24_L00?,KZ2862,H3K9,H3,1,whole,tj,,,,,,,
K9T1M,GC7605046_S25_L00?,KZ2862,H3K9,H3K9me3,1,somatic,tj,,,,,,,
K9T2I,GC7605047_S26_L00?,KZ2862,H3K9,H3,2,whole,tj,,,,,,,
K9T2M,GC7605048_S27_L00?,KZ2862,H3K9,H3K9me3,2,somatic,tj,,,,,,,
