gene_id,SRR015084,SRR015086,SRR015088,SRR015090,SRR015092,SRR015104,SRR015106,SRR015108,SRR015110,SRR015112
FBgn0031208,0,1,0,0,0,0,0,0,2,2
FBgn0031214,0,0,2,3,0,0,2,4,0,4
FBgn0002931,6,2,3,2,2,18,14,20,21,21
FBgn0266879,0,0,0,0,0,0,0,0,0,0
FBgn0067779,94,48,82,95,32,125,96,175,80,140
FBgn0266322,20,14,29,23,15,13,13,25,15,18
FBgn0031213,185,148,214,246,106,256,227,271,141,243
FBgn0031216,155,84,125,171,85,90,81,168,89,139
FBgn0031217,340,210,340,456,217,296,240,251,144,232
FBgn0026787,117,86,127,184,83,85,47,68,34,54
FBgn0031257,8,4,9,8,4,392,335,420,218,332
FBgn0031258,28,25,33,38,18,24,33,49,23,31
FBgn0005278,1685,1045,1601,1948,939,865,733,938,475,843
FBgn0031228,190,139,204,211,114,335,234,254,131,218
FBgn0031220,375,234,350,434,196,733,632,908,455,794
FBgn0288229,791,477,775,1016,442,1401,1304,1644,779,1400
FBgn0051976,0,0,0,0,0,0,0,0,0,0
FBgn0051975,7,4,3,8,3,16,16,28,12,16
FBgn0051974,26,11,32,28,14,5,5,2,8,5
FBgn0259818,19,18,19,27,6,16,11,12,7,14
FBgn0016977,2556,1566,2338,3086,1418,630,565,1733,854,1382
FBgn0031232,0,0,4,0,2,2,0,2,0,0
FBgn0265152,0,2,0,0,0,1,0,2,0,2
FBgn0263465,0,0,1,0,0,0,0,0,0,1
FBgn0262252,0,0,0,0,0,0,0,0,0,0
FBgn0031238,84,46,74,78,43,146,93,102,70,76
FBgn0265150,0,0,0,0,0,0,0,0,0,0
FBgn0086855,162,92,154,185,103,208,121,164,92,134
FBgn0031245,174,103,135,169,91,117,125,109,48,71
FBgn0267996,0,0,0,0,0,0,0,2,0,0
FBgn0025686,0,0,2,0,1,0,1,0,0,1
FBgn0020622,323,213,306,368,186,118,120,271,149,198
FBgn0004611,97,48,69,91,59,128,105,133,69,124
FBgn0263872,0,0,1,0,0,1,0,2,1,3
FBgn0031248,0,0,0,0,0,0,1,1,0,0
FBgn0031249,0,0,0,0,0,0,0,3,1,0
FBgn0053127,0,0,0,0,0,3,6,5,5,2
FBgn0264086,0,0,2,3,1,1,1,2,0,2
FBgn0051921,0,0,1,2,0,0,0,0,0,0
FBgn0031250,52,22,69,77,32,195,190,211,117,165
FBgn0266906,0,8,0,0,8,0,0,5,4,0
FBgn0000061,0,0,0,0,0,0,0,0,0,0
FBgn0263871,0,0,0,0,0,0,0,0,0,0
