"","flybasecg","flybase","pass.min.cells","is.mito","chr","start","end","strand","transcript.length"
"H3-GFP","","",TRUE,FALSE,NA,NA,NA,NA,1379
"lncRNA:CR40469","CR40469","FBgn0058469",TRUE,FALSE,"X",122493,122706,"+",214
"CG17636","CG17636","FBgn0025837",TRUE,FALSE,"X",124370,126714,"-",2345
"RhoGAP1A","CG40494","FBgn0025836",TRUE,FALSE,"X",127449,140340,"+",12892
"mir-4915","CR43552","FBgn0263567",FALSE,FALSE,"X",133385,133502,"+",118
"tyn","CG17131","FBgn0284435",TRUE,FALSE,"X",140318,200663,"+",60346
"lncRNA:CR45473","CR45473","FBgn0267029",TRUE,FALSE,"X",140722,142197,"-",1476
"CG17707","CG17707","FBgn0025835",TRUE,FALSE,"X",142731,148426,"-",5696
"lncRNA:CR43863","CR43863","FBgn0264445",TRUE,FALSE,"X",151691,152279,"-",589
"CG3038","CG3038","FBgn0040373",TRUE,FALSE,"X",243954,245856,"-",1903
"G9a","CG2995","FBgn0040372",TRUE,FALSE,"X",245978,254650,"+",8673
"CG42376","CG42376","FBgn0259722",TRUE,FALSE,"X",254876,255524,"+",649
"cin","CG2945","FBgn0000316",TRUE,FALSE,"X",255674,258469,"+",2796
"CG13377","CG13377","FBgn0261446",TRUE,FALSE,"X",258335,263999,"-",5665
"asRNA:CR43906","CR43906","FBgn0264507",TRUE,FALSE,"X",258465,267253,"+",8789
"CG13376","CG13376","FBgn0029518",FALSE,FALSE,"X",265724,267028,"-",1305
"ewg","CG3114","FBgn0005427",TRUE,FALSE,"X",268509,279718,"-",11210
"CG3777","CG3777","FBgn0024989",TRUE,FALSE,"X",279703,350504,"+",70802
"mir-980","CR42973","FBgn0262266",FALSE,FALSE,"X",280172,280269,"-",98
"CG13375","CG13375","FBgn0040370",TRUE,FALSE,"X",283186,294962,"-",11777
"CG12470","CG12470","FBgn0040371",TRUE,FALSE,"X",307684,308935,"+",1252
"Or1a","CG17885","FBgn0029521",FALSE,FALSE,"X",315123,316566,"+",1444
